id,employee_id,leave_type,start_date,end_date,reason,status
1,8,SICK,6/20/2024,6/21/2024,Moving to a new house,PENDING
2,23,SICK,6/6/2024,6/8/2024,Visiting relatives abroad,PENDING
3,24,SICK,9/24/2024,9/27/2024,Visiting relatives abroad,REJECTED
4,19,ANNUAL,11/22/2024,11/26/2024,Medical appointment for checkup,REJECTED
5,28,PATERNITY,11/28/2024,11/30/2024,Attending a family wedding,APPROVED
6,43,MATERNITY,5/18/2024,5/19/2024,Expanding our family,REJECTED
7,13,MATERNITY,4/14/2024,4/16/2024,Recovering from seasonal flu,APPROVED
8,40,UNPAID,7/7/2024,7/9/2024,Attending a family wedding,APPROVED
9,44,MATERNITY,12/13/2024,12/17/2024,Family vacation to the beach,REJECTED
10,19,MATERNITY,10/19/2024,10/24/2024,Personal development workshop,APPROVED
11,30,PATERNITY,12/12/2024,12/14/2024,Recovering from seasonal flu,REJECTED
12,29,MATERNITY,12/2/2024,12/3/2024,Attending a family wedding,PENDING
13,23,UNPAID,8/9/2024,8/12/2024,Personal development workshop,REJECTED
14,31,PATERNITY,11/2/2024,11/4/2024,Medical appointment for checkup,PENDING
15,25,SICK,8/21/2024,8/24/2024,Family vacation to the beach,REJECTED
16,40,MATERNITY,12/2/2024,12/3/2024,Personal development workshop,APPROVED
17,30,MATERNITY,8/19/2024,8/23/2024,Rest and recuperation,PENDING
18,3,PATERNITY,3/14/2024,3/15/2024,Expanding our family,APPROVED
19,24,PATERNITY,12/17/2024,12/19/2024,Medical appointment for checkup,REJECTED
20,27,UNPAID,4/15/2024,4/17/2024,New baby at home!,PENDING
21,19,MATERNITY,8/17/2024,8/18/2024,Visiting relatives abroad,APPROVED
22,21,UNPAID,6/21/2024,6/26/2024,New baby at home!,APPROVED
23,20,UNPAID,5/23/2024,5/27/2024,Family vacation to the beach,REJECTED
24,32,MATERNITY,8/17/2024,8/19/2024,New baby at home!,PENDING
25,38,SICK,5/25/2024,5/29/2024,Recovering from seasonal flu,APPROVED
26,7,UNPAID,12/25/2024,12/26/2024,Expanding our family,REJECTED
